ALBACETE	ALBACETE	ALBACETE	2099	CARRETERA NACIONAL 301 KM. 256	D	-1,831,639	38,929,389	1,149	0	0	0	0	1,039	0	0										INPEALSA	P	dm	"L-V: 06:00-22:00; S: 06:00-14:00; D: 09:00-21:00"	"L-V: 06:00-22:00 (P); S: 06:00-14:00 (P); D: 09:00-21:00 (P)"
ALBACETE	ALBACETE	ALBACETE	2004	CARRETERA N-322 KM. 349	D	-1,919,778	38,970,167	1,239	0	0	1,339	0	1,149	1,229	0										CEPSA	P	dm	L-D: 24H	L-D: 24H (A)
ALBACETE	ALBACETE	SANTA ANA	2328	AVENIDA PRINCIPE, 2	D	-1,994,028	38,900,944	1,259	0	0	1,369	0	1,149	1,229	0,833										REPSOL	P	OM	L-D: 08:00-16:00	L-D: 08:00-16:00 (A)
ALBACETE	ALBACETE	SALOBRAL (EL)	2140	CM. 3203 km 14,1	D	-1,920,500	38,867,556	1,160	0	0	1,320	0	1,059	0	0,620										LOZANO	P	dm	"L-S: 07:00-21:30; D: 09:00-14:00"	"L-S: 07:00-21:30 (P); D: 09:00-14:00 (P)"
ALBACETE	ALBACETE	ALBACETE	2007	AVENIDA PRIMERA, S/N	D	-1,882,056	39,022,139	1,049	0	0	0	0	0,949	0	0										GMOIL	P	dm	L-D: 24H	L-D: 24H (A)
ALBACETE	ALBACETE	ALBACETE	2007	CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N	D	-1,888,083	39,029,583	0	0	0	0	0		0	0							0,874	0,722		NATURGY ES  GNV ALBACETE	P	dm	L-D: 24H	L-D: 24H (A)
ALBACETE	ALBACETE	ALBACETE	2007	POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69	D	-1,874,333	39,018,000	1,149	0	0	1,269	0	1,069	1,149	0										ENERCOM CARBURANTES	P	dm	L-D: 24H	L-D: 24H (A)
ALBACETE	ALBACETE	ALBACETE	2007	MADRID-CARTAGENA km 248,5	D	-1,845,278	38,971,722	1,249	0	1,289	1,369	0	1,169	1,259	0										REPSOL. LOS ANGELES DE LA MANCHA, S.L.	P	OM	L-D: 06:00-22:00	L-D: 06:00-22:00 (A)
ALBACETE	ALBACETE	ALBACETE	2007	MADRID-CARTAGENA km 248,5	I	-1,845,306	38,971,778	1,249	0	1,289	1,369	0	1,169	1,259	0										LOS ANGELES DE LA MANCHA	P	OM	L-V: 06:00-22:00	L-V: 06:00-22:00 (A)
ALBACETE	ALBACETE	ALBACETE	2007	AUTOVIA A-31 KM. 69	I	-1,891,361	39,031,528	1,259	0	0	1,389	0	1,179	1,229	0						0,729				REPSOL	P	OM	L-D: 06:00-22:00	L-D: 06:00-22:00 (A)
ALBACETE	ALBACETE	ALBACETE	2007	AVENIDA PRIMERA, 94	N	-1,893,944	39,016,361	1,149	0	0	0	0	1,039	1,089	0										INPEALSA	P	dm	"L-V: 06:00-22:00; S: 06:00-14:00"	S: 06:00-14:00 (A)
ALBACETE	ALBACETE	ALBACETE	2007	CARRETERA C-M 332 KM. 2,6	D	-1,831,611	38,998,111	1,209	0	0	1,329	0	1,129	1,199	0,899										"INLOCOR S.L. ""CEPSA"""	P	dm	L-D: 06:00-23:30	L-D: 06:00-23:30 (A)
ALBACETE	ALBACETE	ALBACETE	2007	SECTOR PARCELA T-3 LOCAL52, 14	N	-1,878,111	39,009,639	1,115	0	0	1,209	0	1,059	1,087	0										ALCAMPO	P	dm	"L-S: 06:00-23:00; D: 08:00-23:00"	"L-S: 06:00-23:00 (A); D: 08:00-23:00 (A)"
ALBACETE	ALBACETE	ALBACETE	2007	AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67	N	-1,886,556	39,021,583	1,149	0	0	0	0	1,049	0	0										VALERO 24H	P	dm	L-D: 24H	L-D: 24H (A)
